parameter,lag,autocorr
mu,0,1.0
mu,1,-0.0043229288333192515
mu,2,0.012052459610412642
mu,3,0.012089577180080755
mu,4,0.02830000495423212
mu,5,0.01614142953433614
mu,6,-0.013325071395583187
mu,7,0.015152451275892338
mu,8,0.006493850851841423
mu,9,0.033615698260246754
mu,10,0.0031263134800633414
mu,11,0.03054381353915941
mu,12,-6.61774226014111e-05
mu,13,0.003914272177156299
mu,14,0.045192856168521076
mu,15,0.00852006081831729
mu,16,-0.003917978226573164
mu,17,-0.018307224896942823
mu,18,0.01824104535505959
mu,19,0.038046254243554345
mu,20,0.018450374497155263
mu,21,0.02840382882691546
mu,22,0.004120871891945883
mu,23,-0.002435421122584753
mu,24,0.00160005213919384
mu,25,0.0237889382769953
mu,26,0.026286694653819123
mu,27,0.03784059685031964
mu,28,0.0037758234073624816
mu,29,0.05301591415870799
mu,30,0.02556881425537584
mu,31,-0.03607950687310387
mu,32,-0.005202444976281059
mu,33,-0.0033281470598805238
mu,34,-0.03491794954815665
mu,35,-0.0165734231699749
mu,36,-0.03568291114453319
mu,37,0.0238856729608633
mu,38,0.018956440237155217
mu,39,0.004093897888636143
mu,40,-0.001165490927732329
nu,0,1.0
nu,1,0.8534520147249717
nu,2,0.7301471456945848
nu,3,0.6239034249925012
nu,4,0.5294681022604458
nu,5,0.45386248492640335
nu,6,0.39777857795419636
nu,7,0.35012829996836814
nu,8,0.304292328213469
nu,9,0.26897105025590323
nu,10,0.23167639669269421
nu,11,0.19366989362496276
nu,12,0.15602425265381653
nu,13,0.1251844363680357
nu,14,0.10258058586074428
nu,15,0.0883563053620041
nu,16,0.0742304062436991
nu,17,0.0510274487956599
nu,18,0.02242550175346849
nu,19,8.490972232184418e-05
nu,20,-0.016157353858904544
nu,21,-0.025328163965929143
nu,22,-0.02441093422984732
nu,23,-0.026102852704643662
nu,24,-0.020104097696420895
nu,25,-0.008899365119494003
nu,26,-0.010736671921464441
nu,27,-0.020238333870538812
nu,28,-0.02122776093281818
nu,29,-0.017637795311132274
nu,30,-0.013622970238328867
nu,31,-0.0018881865356631074
nu,32,0.00947127962101507
nu,33,0.005014838234134803
nu,34,0.005843838480317471
nu,35,0.006013360087698974
nu,36,-0.007557083965061751
nu,37,-0.01769037737334999
nu,38,-0.021232598473104405
nu,39,-0.016444863888726857
nu,40,-0.010300000175240272
sigma2,0,1.0
sigma2,1,0.4193409807511299
sigma2,2,0.30311679987906825
sigma2,3,0.2833776039971861
sigma2,4,0.22359678921256917
sigma2,5,0.1834394348357506
sigma2,6,0.19375599848159916
sigma2,7,0.14676771756010246
sigma2,8,0.13203309256100684
sigma2,9,0.10787304145875136
sigma2,10,0.0661422188577671
sigma2,11,0.057993215712566
sigma2,12,0.046691061482362246
sigma2,13,0.06063968159829064
sigma2,14,0.029310539055376533
sigma2,15,0.023348012454544743
sigma2,16,0.02130506085524448
sigma2,17,0.006069389401739564
sigma2,18,-0.02720274737384944
sigma2,19,-0.012042365586144316
sigma2,20,-0.05761786694143294
sigma2,21,-0.0742987906640125
sigma2,22,-0.0304262904585241
sigma2,23,-0.014398471028267166
sigma2,24,-0.004848835815178124
sigma2,25,-0.04051204798454001
sigma2,26,-0.026708785487955706
sigma2,27,-0.02458324725154457
sigma2,28,-0.0009916818975607014
sigma2,29,-0.023071138636318475
sigma2,30,0.0014374908030390435
sigma2,31,0.019454574163608993
sigma2,32,0.029356224430389297
sigma2,33,0.02632849883332887
sigma2,34,0.02060200769476789
sigma2,35,0.014456900829355196
sigma2,36,-0.007993923960424188
sigma2,37,-0.010910693963906782
sigma2,38,-0.005632871950961714
sigma2,39,0.000347560716490643
sigma2,40,-0.013576398059714053
