parameter,lag,autocorr
mu,0,1.0
mu,1,-0.008809621632173598
mu,2,-0.006065222612899233
mu,3,0.004244174462176925
mu,4,0.015596105241936338
mu,5,0.004186419199988118
mu,6,-0.014954747381302355
mu,7,-0.005547436634253592
mu,8,0.013012369082769319
mu,9,-0.0009749618912504361
mu,10,0.009880852273283395
mu,11,-0.002735539697571905
mu,12,-0.008469212618394442
mu,13,-0.0037823422591168766
mu,14,-0.01043182789119397
mu,15,-0.008931558126635281
mu,16,-0.007995594600793498
mu,17,0.006199548542807953
mu,18,0.02851986841266725
mu,19,-0.01910421411354889
mu,20,-0.022465698730989088
mu,21,-0.012434725450885828
mu,22,-0.0009862440928035576
mu,23,0.004797045567890606
mu,24,-0.013145182428960074
mu,25,0.0049520098394657845
mu,26,-0.021827710883086295
mu,27,-0.009921281746429414
mu,28,0.007062454003656536
mu,29,-0.01218499055149197
mu,30,0.0027346375549911492
mu,31,-0.01918497841967056
mu,32,0.009058187327759652
mu,33,0.0013831609861427211
mu,34,-0.019561394238591715
mu,35,-0.004160663376669821
mu,36,-0.001969493969395436
mu,37,-0.004884337598888416
mu,38,0.0036640510241178455
mu,39,0.001513123273778
mu,40,0.0065925839086663236
nu,0,1.0
nu,1,0.484851547088166
nu,2,0.23721299544049965
nu,3,0.11580808152646511
nu,4,0.05744101772373231
nu,5,0.027346911040457313
nu,6,0.0021917890354013927
nu,7,0.0030065199386087333
nu,8,-0.0007657513540788063
nu,9,0.003544909136539372
nu,10,0.01319839451427614
nu,11,0.00408908994457879
nu,12,0.006984151922273281
nu,13,0.0028361707305920147
nu,14,-0.008250985212138996
nu,15,-0.009902673709717947
nu,16,-0.017293871359053876
nu,17,-0.012161921582293744
nu,18,-0.01708134012596145
nu,19,0.008549279058708763
nu,20,0.009843608928745935
nu,21,3.7821885502449214e-05
nu,22,0.0037807177496490822
nu,23,-0.0008983329437941241
nu,24,-0.0024056572008333095
nu,25,-0.02102889046264244
nu,26,-0.02506622629321352
nu,27,-0.024304539025010983
nu,28,-0.017577670776226045
nu,29,-0.0001137417021798865
nu,30,0.014442610706579685
nu,31,0.019281144018997654
nu,32,0.013332672188082581
nu,33,0.0014642034812293839
nu,34,0.0032086917033704145
nu,35,0.00819276722034666
nu,36,-0.0011198242283876028
nu,37,4.216326572796874e-05
nu,38,-0.019278150842626875
nu,39,-0.009634409046172476
nu,40,-0.015291846976845025
sigma2,0,1.0
sigma2,1,0.233482153202216
sigma2,2,0.10568006772096931
sigma2,3,0.0579340839410468
sigma2,4,0.03198780898349355
sigma2,5,0.026655929129331672
sigma2,6,-0.004353903873171095
sigma2,7,0.008268175216928728
sigma2,8,0.030608375596880472
sigma2,9,0.0298535168536676
sigma2,10,-0.001252428307178138
sigma2,11,0.010712953981816263
sigma2,12,0.02399419984387204
sigma2,13,0.0018066811285052614
sigma2,14,0.01619861348042333
sigma2,15,-0.00830099958537841
sigma2,16,-0.019704519265629702
sigma2,17,-0.007115276781065198
sigma2,18,0.014529923293027104
sigma2,19,0.004783171424599668
sigma2,20,0.006358762952937322
sigma2,21,-0.001024784172327503
sigma2,22,0.03368117625276246
sigma2,23,-0.0080928137039372
sigma2,24,0.006114860198160747
sigma2,25,-0.022531504463025674
sigma2,26,-0.03661242824415419
sigma2,27,-0.027420480620949022
sigma2,28,-0.012090404168590379
sigma2,29,0.0033221609346735315
sigma2,30,0.012108449260923323
sigma2,31,0.009532968707767259
sigma2,32,0.004708165519290875
sigma2,33,-0.02149214091395867
sigma2,34,-0.019408783502454913
sigma2,35,-0.01395353405964578
sigma2,36,-0.01575973051178811
sigma2,37,-0.007880132425523153
sigma2,38,-0.019692495874810437
sigma2,39,-0.007369072477296854
sigma2,40,0.008288165296767926
