parameter,lag,autocorr
mu,0,1.0
mu,1,-0.00021789895497976772
mu,2,0.007398789305143553
mu,3,0.007182844900202755
mu,4,0.018373347677090698
mu,5,0.0009122418339976812
mu,6,-0.007575268596728414
mu,7,0.0017447855356339213
mu,8,0.007682909442602213
mu,9,-0.01775319470280307
mu,10,-0.00011907742814253903
mu,11,6.381134620651143e-05
mu,12,0.0009673825391267709
mu,13,-0.0008332396790480722
mu,14,-0.000948721909410037
mu,15,-0.009094710692524887
mu,16,-0.0030432182794161433
mu,17,0.00840002168814165
mu,18,0.0017240855088572038
mu,19,-0.012021330424137533
mu,20,-0.017805051824930467
mu,21,-0.0041703619135334165
mu,22,-0.0016317694940320429
mu,23,0.006632363741413292
mu,24,0.001422979916584148
mu,25,-0.015758039970005303
mu,26,0.0071935302935956956
mu,27,-0.008858610586756159
mu,28,0.0016025196357488864
mu,29,-0.011725173502761668
mu,30,0.0013953455081017283
mu,31,-0.003212017407008293
mu,32,0.009650322491505424
mu,33,-0.012684296518088597
mu,34,-0.0008865541356385058
mu,35,0.008456161837525593
mu,36,-0.004230971142871566
mu,37,0.0029646175487149564
mu,38,-0.012781798644150024
mu,39,-0.00020483151125908841
mu,40,0.0011237345251423998
nu,0,1.0
nu,1,0.480998919768079
nu,2,0.22703939519035116
nu,3,0.10704591557265808
nu,4,0.04155721554239545
nu,5,0.014757427414661317
nu,6,0.0037809580676705715
nu,7,0.007856718289045835
nu,8,0.005375861148584464
nu,9,0.009127025891068747
nu,10,0.010620855924690767
nu,11,0.00421946716215375
nu,12,0.006711874805565215
nu,13,0.002127293486501172
nu,14,0.003318531811648179
nu,15,0.0005545481140335747
nu,16,0.0015198260641024219
nu,17,0.00034015060414645937
nu,18,-0.011324080080495688
nu,19,-0.0036933971010467467
nu,20,-0.0008363927630731245
nu,21,-0.007839774588334389
nu,22,-0.008057837626548282
nu,23,-0.010345828448639474
nu,24,-0.011081477859368177
nu,25,-0.017635409610675425
nu,26,-0.018381136306043787
nu,27,-0.02021668620793503
nu,28,-0.009861637754654247
nu,29,-0.005113064754384815
nu,30,0.0002816028218910364
nu,31,0.001345832579636017
nu,32,-0.0003059327026553914
nu,33,-0.002239532751318263
nu,34,-0.00023102096130909563
nu,35,-0.000321484309730185
nu,36,0.00038374899244652475
nu,37,0.0005592698834230198
nu,38,0.001422950987525389
nu,39,1.960713542275311e-05
nu,40,0.00014074870115942227
sigma2,0,1.0
sigma2,1,0.23933062634256932
sigma2,2,0.11184710417708357
sigma2,3,0.05571310857490401
sigma2,4,0.02173932668272218
sigma2,5,0.014712153650457525
sigma2,6,0.006023579470839372
sigma2,7,0.010412718880780103
sigma2,8,0.008792847050361086
sigma2,9,0.011740678372723438
sigma2,10,0.0007704949680387514
sigma2,11,-0.002603775452760203
sigma2,12,0.010707840449614611
sigma2,13,-0.0022192242932414746
sigma2,14,0.008393368877658632
sigma2,15,0.009673690729998718
sigma2,16,0.00024353755834461894
sigma2,17,-0.003118516776088923
sigma2,18,-0.005837767561464818
sigma2,19,-0.0075229378862960794
sigma2,20,-0.004774386443415939
sigma2,21,0.00480336269672532
sigma2,22,0.00639422934870151
sigma2,23,-0.01115806928162042
sigma2,24,-0.0028641194912845257
sigma2,25,-0.008633356757403175
sigma2,26,-0.01952462970550675
sigma2,27,-0.02040201921646435
sigma2,28,-0.009566565677028861
sigma2,29,-0.005671739637873785
sigma2,30,-0.0033594678506822665
sigma2,31,-0.00412985650165467
sigma2,32,-0.003718677067617724
sigma2,33,-0.0031871031346522257
sigma2,34,-0.00023306691842453354
sigma2,35,-0.0036443892338094636
sigma2,36,-0.007730853420628561
sigma2,37,-0.0061255994283353436
sigma2,38,-0.00013090466570381235
sigma2,39,0.0012767817508982638
sigma2,40,0.009727835370549514
