parameter,lag,autocorr
mu,0,1.0
mu,1,0.013278304975218966
mu,2,0.01058461823176262
mu,3,-0.014605592310146322
mu,4,-0.0036736982647286613
mu,5,0.0006808543605774865
mu,6,0.010279974984089554
mu,7,-0.004274777759485065
mu,8,0.008075477522945023
mu,9,0.020521522657848797
mu,10,0.009436504011633772
mu,11,0.0037236663208840217
mu,12,-0.014479210813655781
mu,13,-0.04248813975614268
mu,14,-0.003960438087394792
mu,15,-0.03260497834083912
mu,16,0.007669786379905291
mu,17,0.01858228681317293
mu,18,0.021703257604081653
mu,19,-0.005115613893877652
mu,20,0.016852788419770014
mu,21,0.017774908520257152
mu,22,-0.002180778916167684
mu,23,0.00445701183198276
mu,24,-0.020147556474442063
mu,25,0.019459494278579483
mu,26,0.005916547975501348
mu,27,0.02501084269777844
mu,28,5.3403591979054735e-05
mu,29,-0.015415688141739662
mu,30,0.013640288107662846
mu,31,0.002886496874182505
mu,32,0.012155693851755418
mu,33,0.0226595945128513
mu,34,0.019777895200499884
mu,35,0.01201601099718671
mu,36,0.008441347866550465
mu,37,0.016747163400912052
mu,38,-0.008093235704593195
mu,39,0.009996810098709407
mu,40,-0.013274746356579043
nu,0,1.0
nu,1,0.6827784386242367
nu,2,0.48093244811065144
nu,3,0.3369623821598957
nu,4,0.24852458324771892
nu,5,0.17691871203211734
nu,6,0.1268332475934496
nu,7,0.08823948858796803
nu,8,0.062270512364366766
nu,9,0.03974358424379111
nu,10,0.02241328633873041
nu,11,0.021306320117799805
nu,12,0.023692436897922692
nu,13,0.02623971893137127
nu,14,0.026606648291428954
nu,15,0.020899085372808667
nu,16,0.021842905437224103
nu,17,0.013966221101290414
nu,18,0.02016110128731433
nu,19,0.020393036972776415
nu,20,0.004175407908585916
nu,21,-0.003931070949892465
nu,22,0.0028991079130097513
nu,23,0.01573401732471059
nu,24,-0.0018844582311160437
nu,25,-0.010366922717452933
nu,26,-0.009785047146343548
nu,27,-0.018199352626298057
nu,28,-0.026382658214073144
nu,29,-0.018023327889515738
nu,30,-0.014896557574893773
nu,31,-0.012851617372210536
nu,32,-0.012275754199321464
nu,33,-0.02203863942459757
nu,34,-0.02075443938853114
nu,35,-0.016311570314457544
nu,36,-0.010516890544096671
nu,37,-0.00647533149498312
nu,38,0.004415687365696287
nu,39,0.009110276593141597
nu,40,0.008848871209075244
sigma2,0,1.0
sigma2,1,0.33917419432016843
sigma2,2,0.2503237475167324
sigma2,3,0.16220117723210972
sigma2,4,0.10137050494628196
sigma2,5,0.07697287191417113
sigma2,6,0.05405678304968993
sigma2,7,0.016709005640377958
sigma2,8,0.02436513131877329
sigma2,9,-0.005768380973231978
sigma2,10,-0.0007995091958886066
sigma2,11,-0.005971541719901941
sigma2,12,0.01410823286183598
sigma2,13,0.01255073632704575
sigma2,14,0.014536153781011633
sigma2,15,0.027070862124083606
sigma2,16,0.022399025367681513
sigma2,17,-0.0015956734553709841
sigma2,18,0.012385576483549763
sigma2,19,0.0029299146569176622
sigma2,20,-0.003787629204047218
sigma2,21,0.0058366467794850755
sigma2,22,0.0059616415214948084
sigma2,23,-0.001458037716434628
sigma2,24,0.016800203282906864
sigma2,25,0.00162628232371148
sigma2,26,-0.005753629489581132
sigma2,27,-0.0005218149320860679
sigma2,28,0.003868852134279047
sigma2,29,0.0016010884621222474
sigma2,30,-0.004522467268911183
sigma2,31,-0.012719116690244272
sigma2,32,-0.030254670232595954
sigma2,33,-0.03356915549503694
sigma2,34,-0.01686045057430953
sigma2,35,-0.005303475109490912
sigma2,36,0.008768418289050938
sigma2,37,0.014109543570386145
sigma2,38,0.013943577604332666
sigma2,39,0.016883383568186965
sigma2,40,0.014391811564231324
